Journal;Year;Titel;Observation;Interview;Content Analysis;Other;Observation_y/n;Interview_y/n;ContentAnalysis_y/n;Other_y/n;Subject;Medium;Field
Communication Methods & Measures;2008;Linking Measures of Media Exposure to Sexual Cognitions and Behaviors: A Review;no;no;only method;no;no;no;yes;no;methods;combination;combination
Communication Methods & Measures;2009;New Methods for Estimating the Impact of Health Communication Programs;no;only method;no;no;no;yes;no;no;methods;combination;PR/campaining
Communication Methods & Measures;2008;Developing Respondent-Based Multi-Media Measures of Exposure to Sexual Content;no;only method;no;no;no;yes;no;no;methods;internet;entertainment
Communication Methods & Measures;2010;Using Multiple Coding Schemes to Understand Argument in In the Jury Room;no;no;only method;no;no;no;yes;no;methods;conversations; 
Communication Methods & Measures;2008;Media Multitasking: Issues Posed in Measuring the Effects of Television Sexual Content Exposure;no;only method;no;no;no;yes;no;no;media effects;combination;entertainment
Communication Methods & Measures;2008;The Reliability and Stability of General Media Exposure Measures;no;only method;no;no;no;yes;no;no;methods;combination;combination
Communication Methods & Measures;2013;Evolutionary Factor Analysis of the Dynamics of Frames: Introducing a Method for Analyzing High-Dimensional Semantic Data with Time-Changing Structure;no;only method;no;no;no;yes;no;no;media contents;combination;journalism
Communication Methods & Measures;2013;Validity of Adultsâ€™ Retrospective Memory for Early Television Viewing;no;only method;no;no;no;yes;no;no;uses & gratifications;audio-visual;combination
Communication Methods & Measures;2008;A Comparative Analysis of the Performance of Alternative Measures of Exposure;no;only method;no;no;no;yes;no;no;methods;combination;combination
Communication Methods & Measures;2008;Population-Based Assessment of Exposure to Risk Behaviors in Motion Pictures;no;coequal method;coequal method;no;no;yes;yes;no;methods;audio-visual;entertainment
Communication Methods & Measures;2009;Does Evaluation Design Impact Communication Campaign Effect Size? A Meta-Analysis;no;no;only method;no;no;no;yes;no;methods;combination;PR/campaining
Communication Methods & Measures;2008;Age, Memory Changes, and the Varying Utility of Recognition as a Media Effects Pathway;no;only method;no;no;no;yes;no;no;methods;combination;combination
Communication Methods & Measures;2008;Measuring Aggregate Media Exposure: A Construct Validity Test of Indicators of the National News Environment;no;no;only method;no;no;no;yes;no;methods;print;journalism
